id;year;month;hour;weekday;severity;light_condition;street_condition;bicycle;car;pedestrian;bike;truck;other;lng;lat;datetime;date
1;2016;1;6;Mo;Leicht;Dunkelheit;Winterglatt;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1246061790000;49,0557287650000;2016-01-01T06:00:00Z;2016-01-01
2;2016;1;6;Di;Leicht;Dunkelheit;Winterglatt;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1472982350000;48,9976409610000;2016-01-01T06:00:00Z;2016-01-01
3;2016;1;17;Mi;Leicht;Dunkelheit;Nass/Feucht;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;12,1500114200000;48,9991066870000;2016-01-01T17:00:00Z;2016-01-01
4;2016;1;13;Do;Leicht;Tageslicht;Nass/Feucht;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1325556520000;48,9965678570000;2016-01-01T13:00:00Z;2016-01-01
5;2016;1;22;Di;Schwer;Dunkelheit;Trocken;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;12,1565742960000;48,9988950580000;2016-01-01T22:00:00Z;2016-01-01
6;2016;1;18;Do;Leicht;Dämmerung;Nass/Feucht;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;12,1651817420000;49,0002225220000;2016-01-01T18:00:00Z;2016-01-01
7;2016;1;17;Do;Leicht;Dunkelheit;Nass/Feucht;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,0823420010000;49,0295075610000;2016-01-01T17:00:00Z;2016-01-01
8;2016;1;6;Do;Leicht;Dunkelheit;Nass/Feucht;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1344083700000;49,0137150120000;2016-01-01T06:00:00Z;2016-01-01
9;2016;2;15;Fr;Leicht;Tageslicht;Trocken;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1138143410000;49,0258755500000;2016-02-01T15:00:00Z;2016-02-01
10;2016;2;19;Di;Leicht;Dunkelheit;Nass/Feucht;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1163507980000;49,0073248620000;2016-02-01T19:00:00Z;2016-02-01
11;2016;3;10;Di;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,0742215630000;49,0280741650000;2016-03-01T10:00:00Z;2016-03-01
